DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1942-02-26 12:30:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5894_output_1942-02-26,Berlin Station,Berlin,680,1656.1,951.0,57.42406859489162,705.1,42.57593140510839
1944-04-22 19:38:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6163_output_1944-04-22,,,649,1597.45,1274.4,79.77714482456415,323.05,20.22285517543585
1945-03-15 14:53:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6414_output_1945-03-15,MARSHALLING YARDS,ORANIENBURG,473,1364.45,1218.2,89.28139543405767,146.25,10.71860456594232
1945-01-28 11:45:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5983_output_1945-01-28,,,858,1352.375,1352.0,99.97227100471393,0.375,0.0277289952860708
1943-02-01 13:32:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6583_output_1943-02-01,MARSHALLING YARD,ULM,324,1200.5,844.0,70.30403998334027,356.5,29.695960016659722
1944-10-14 11:47:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5989_output_1944-10-14,,,432,1108.75,673.75,60.766629086809466,435.0,39.23337091319053
1943-09-18 11:34:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5895_output_1943-09-18,Goods Station Freight,Berlin,233,1042.75,514.0,49.29273555502277,528.75,50.70726444497723
1944-09-25 10:39:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6095_output_1944-09-25,,,328,1037.0,762.75,73.55351976856316,274.25,26.446480231436837
1944-04-24 12:34:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5268_output_1944-04-24,MARSHALLING YARDS,BUCHAREST,290,1031.5,551.5,53.46582646631119,480.0,46.53417353368881
1942-03-03 11:04:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5889_output_1942-03-03,,,350,974.0,789.0,81.00616016427105,185.0,18.993839835728956
1944-12-15 12:16:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6178_output_1944-12-15,Hainholz,Hanover,320,957.0,799.0,83.49007314524556,158.0,16.509926854754443
1944-04-01 12:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6228_output_1944-04-01,MARSHALLING YARD,KARLSRUHE,387,944.25,881.75,93.3809902038655,62.5,6.619009796134498
1944-12-12 12:26:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6011_output_1944-12-12,MARSHALLING YARD,DARMSTADT,301,921.05,687.3,74.62135606101732,233.75,25.378643938982687
1942-05-28 12:30:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6233_output_1942-05-28,Marshalling Yard,Kassel,322,904.25,545.5,60.32623721316007,358.75,39.67376278683992
1944-10-22 14:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6165_output_1944-10-22,,,698,862.85,548.1,63.522049023584636,314.75,36.47795097641537
1942-02-21 12:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6399_output_1942-02-21,,,352,854.65,433.5,50.72251798982039,421.15,49.277482010179604
1944-09-25 11:54:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5956_output_1944-09-25,,,334,844.0,752.5,89.15876777251185,91.5,10.84123222748815
1944-10-15 09:56:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5990_output_1944-10-15,Gereon My,Cologne,286,837.75,603.0,71.97851387645478,234.75,28.02148612354521
1944-07-16 09:16:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6507_output_1944-07-16,MARSHALLING YARD,SAAR BRUCKEN,459,833.0,783.0,93.99759903961584,50.0,6.002400960384153
1944-09-27 09:25:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5984_output_1944-09-27,Eifeltor MY,Cologne,274,812.75,748.75,92.12549984620117,64.0,7.874500153798832
1945-02-14 00:35:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5949_output_1945-02-14,MARSHALLING YARD,CHEMNITZ,145,802.5,550.0,68.53582554517133,252.5,31.464174454828658
1941-12-28 18:41:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_5919_output_1941-12-28,MARSHALLING YARD,BONN,684,780.0,739.0,94.74358974358974,41.0,5.256410256410256
1942-02-20 05:41:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6397_output_1942-02-20,,,734,768.625,556.125,72.35322816718165,212.5,27.646771832818345
1944-09-09 10:50:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6319_output_1944-09-09,Marshalling Yard,Mannheim,259,768.0,523.0,68.09895833333334,245.0,31.901041666666668
1944-09-26 14:35:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6164_output_1944-09-26,MARSHALLING YARD,HAMM,336,767.0,674.0,87.8748370273794,93.0,12.1251629726206
1943-03-10 13:03:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6024_output_1943-03-10,,MUND,315,746.5,591.0,79.16945746818487,155.5,20.830542531815137
1941-01-17 11:42:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6435_output_1941-01-17,MARSHALLING YARD,PADERBORN,293,740.0,711.0,96.08108108108108,29.0,3.9189189189189193
1944-05-05 11:42:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6400_output_1944-05-05,,,220,733.0,649.75,88.6425648021828,83.25,11.357435197817189
1944-10-19 12:15:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6308_output_1944-10-19,Marshalling Yard,Mainz,191,730.65,377.15,51.618421953055496,353.5,48.381578046944504
