DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-11-09 09:53:00,BOX_7_BOOK_15_TACTICAL_IMG_7477_output_1944-11-09,TACTICAL TARGETS,METZ,656,1591.75
1944-11-16 12:22:00,BOX_7_BOOK_15_TACTICAL_IMG_7558_output_1944-11-16,Eschweiler Tactical Targets,Eschweiler,400,1405.3
1944-08-13 13:58:00,BOX_7_BOOK_15_TACTICAL_IMG_7429_output_1944-08-13,Coastal Battery,Cezembre,478,1299.0
1944-11-16 11:34:00,BOX_7_BOOK_15_TACTICAL_IMG_7552_output_1944-11-16,TACTICAL TARGET,DUREN,390,1263.49
1944-09-17 10:10:00,BOX_7_BOOK_15_TACTICAL_IMG_7320_output_1944-09-17,Gun Emplacements,Holland,290,968.8
1945-04-10 11:15:00,BOX_7_BOOK_15_TACTICAL_IMG_7397_output_1945-04-10,UNKNOWN SUPPLY TARGET,,445,920.06
1944-07-25 10:38:00,BOX_7_BOOK_15_TACTICAL_IMG_7495_output_1944-07-25,TACTICAL TARGET,ST LO,397,750.28
1944-08-08 13:13:00,BOX_7_BOOK_15_TACTICAL_IMG_7428_output_1944-08-08,TROOP CONCENTRATION,CAUVI COURT,210,721.54
1944-07-25 09:59:00,BOX_7_BOOK_15_TACTICAL_IMG_7453_output_1944-07-25,TACTICAL TARGET,LA CHAPELLE,195,678.0
1944-06-06 06:50:00,BOX_7_BOOK_15_TACTICAL_IMG_7420_output_1944-06-06,Tactical Targets,Caen,521,626.025
1945-04-18 16:26:00,BOX_7_BOOK_15_TACTICAL_IMG_7398_output_1945-04-18,,GUNS,176,621.5
1944-07-24 12:53:00,BOX_7_BOOK_15_TACTICAL_IMG_7497_output_1944-07-24,TACTICAL TARGET,ST LO AREA,306,601.0
1945-04-09 14:30:00,BOX_7_BOOK_15_TACTICAL_IMG_7397_output_1945-04-09,UNKNOWN SUPPLY TARGET,,338,584.77
1944-09-17 10:45:00,BOX_7_BOOK_15_TACTICAL_IMG_7321_output_1944-09-17,,,192,578.73
1944-08-14 10:20:00,BOX_7_BOOK_15_TACTICAL_IMG_7510_output_1944-08-14,Gun Positions,Toulon,194,564.0
1944-09-03 10:18:00,BOX_7_BOOK_15_TACTICAL_IMG_7416_output_1944-09-03,TICAL TARGETS,,220,563.84
1945-04-14 12:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7491_output_1945-04-14,FLAK BAT STRONG POINTS,ROYAN,205,552.28
1944-08-11 17:22:00,BOX_7_BOOK_15_TACTICAL_IMG_7414_output_1944-08-11,TACTICAL TARGETS,BREST,172,541.0
1944-09-03 09:42:00,BOX_7_BOOK_15_TACTICAL_IMG_7415_output_1944-09-03,GUN POSTIONS,BREST,461,529.0
1944-09-17 10:22:00,BOX_7_BOOK_15_TACTICAL_IMG_7322_output_1944-09-17,Gun Emplacements,Holland,165,511.96000000000004
1945-04-26 13:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7389_output_1945-04-26,TACTICAL TARGET,OSOPPO,118,450.0
1945-04-17 13:04:00,BOX_7_BOOK_15_TACTICAL_IMG_7398_output_1945-04-17,,GUNS,202,441.0
1944-08-14 09:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7392_output_1944-08-14,GUN POSITION,SAVONA,134,406.0
1944-08-03 06:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7362_output_1944-08-03,Troop Concentration,Bucharest,27,401.0
1944-08-13 14:11:00,BOX_7_BOOK_15_TACTICAL_IMG_7379_output_1944-08-13,Gun Positions,Genoa,149,394.0
1944-11-09 08:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7478_output_1944-11-09,TACTICAL TARGETS,METZ,178,388.6
1944-07-25 10:06:00,BOX_7_BOOK_15_TACTICAL_IMG_7479_output_1944-07-25,ST LO AREA TACTICAL TGTS,MONTREUIL,225,368.5
1944-10-12 11:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7371_output_1944-10-12,,Bologna,168,344.99
1944-08-12 10:51:00,BOX_7_BOOK_15_TACTICAL_IMG_7392_output_1944-08-12,GUN POSITION,SAVONA,121,339.0
1944-08-14 16:31:00,BOX_7_BOOK_15_TACTICAL_IMG_7504_output_1944-08-14,GUN POSITION,ST TROPEZ,126,335.35
1944-06-06 06:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7515_output_1944-06-06,Tactical Target,Ver Sur Mer,178,333.65
1944-08-08 12:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7417_output_1944-08-08,Tactical Targets,Bretteville Sur Laize,99,320.59000000000003
1944-09-05 18:34:00,BOX_7_BOOK_15_TACTICAL_IMG_7416_output_1944-09-05,TICAL TARGETS,,118,318.0
