target_location,target_name,BOOK,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,TOTAL_AIRCRAFT,AVG_ALTITUDE,TOTAL_HE_BOMBS,TOTAL_HE_TONS,TOTAL_INCENDIARY_BOMBS,TOTAL_INCENDIARY_TONS,TOTAL_FRAG_BOMBS,TOTAL_FRAG_TONS,TOTAL_TONS,NUM_ATTACKS
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,,,92002 780,28-29,7.0,1.0,,R,1.0,,2.0,0.25,120.0,0.24,0.0,0.0,0.49,1
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,,,92002 780,02-03,8.0,1.0,,R,3.0,,8.0,2.0,120.0,0.24,0.0,0.0,2.24,2
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,,,92002 780,04,8.0,1.0,,R,2.0,,4.0,0.6,0.0,0.0,0.0,0.0,0.6,1
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,,,92002 780,05-07,8.0,1.0,,R,2.0,,4.0,0.6,0.0,0.0,0.0,0.0,0.6,1
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,,,92002 780,08,8.0,1.0,,R,2.0,,4.0,0.6,0.0,0.0,0.0,0.0,0.6,1
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,,,92002 780,08-09,9.0,1.0,,R,1.0,,2.0,0.3,0.0,0.0,0.0,0.0,0.3,1
AACH,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,4752N,852W,46001,4.0,3.0,5.0,1007.0,8.0,14.0,185.0,224.0,28.0,13.0,3.114,0.0,0.0,31.114,2
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,,,46002,28-29,4.0,0.0,800.0,R,1.0,,3.0,0.9,0.0,0.0,0.0,0.0,0.9,1
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,,,46002,30,4.0,0.0,900.0,R,1.0,,3.0,1.0,360.0,0.72,0.0,0.0,1.72,1
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,,,46002,12-13,6.0,0.0,1300.0,R,1.0,,2.0,0.6,360.0,0.72,0.0,0.0,1.3199999999999998,1
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,,,46002,15,6.0,0.0,1100.0,R,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,,,46002,17-18,6.0,0.0,1000.0,R,1.0,,1.0,1.0,360.0,0.72,0.0,0.0,1.72,1
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,,,46002,03-04,7.0,0.0,,R,1.0,,4.0,0.5,0.0,0.0,0.0,0.0,0.5,1
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,,,46002,26-27,8.0,0.0,700.0,R,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1
