target_location,target_name,BOOK,TOTAL_TONS,INCENDIARY_PERCENT,TARGET_SCORE,TONNAGE_SCORE,INCENDIARY_SCORE,AREA_BOMBING_SCORE,AREA_BOMBING_SCORE_NORMALIZED,CATEGORY,raid_id,AIR FORCE,DAY,MONTH,YEAR,TIME OF ATTACK,AVG_ALTITUDE,TOTAL_AIRCRAFT,Year
AACH,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,31.114,10.008356366908789,1,6.6295332292208915,3.4490618493176193,7.0,7.2,INDUSTRIAL,6,8.0,4.0,3.0,5.0,1007.0,185.0,14.0,1945
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,2.4,0.0,0,3.2375498872115216,0.0,1.0,1.0,TRANSPORTATION,41,8.0,19,7.0,4.0,220.0,,1.0,1944
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,37.5,0.0,0,6.965989935797328,0.0,2.1,2.2,TRANSPORTATION,42,8.0,25,7.0,4.0,410.0,,300.0,1944
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,2.4,0.0,0,3.2375498872115216,0.0,1.0,1.0,TRANSPORTATION,43,8.0,26,7.0,4.0,430.0,,350.0,1944
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,15.0,0.0,0,5.71889640812077,0.0,1.7,1.8,TRANSPORTATION,44,8.0,28,7.0,4.0,510.0,,450.0,1944
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,2.0,0.0,1,2.6979003990976924,0.0,4.8,4.9,INDUSTRIAL,157,8.0,25.0,1.0,4.0,1954.0,280.0,1.0,1944
AACHEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,39.0,97.43589743589745,1,7.033663022731217,8.877682397229908,8.8,9.1,INDUSTRIAL,201,8.0,27.0,8.0,4.0,1047.0,256.0,16.0,1944
AALEN,RR LINES,BOOK_11_TRANSPORTATION__PART_3,67.0,0.0,0,7.838278674301579,0.0,2.4,2.5,TRANSPORTATION,215,8.0,22.0,2.0,5.0,1321.0,119.0,22.0,1945
AALEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,24.0,0.0,1,6.1726531320492795,0.0,5.9,6.1,INDUSTRIAL,216,8.0,,2.0,5.0,1315.0,230.0,8.0,1945
ABBEVILLE,AIRDROME,BOOK_10_AIRFIELDS__PART_1,110.0,0.0,0,8.702411938226618,0.0,2.6,2.7,AIRFIELDS,236,8.0,31,7.0,1.0,922.0,115.0,22.0,1941
ABBEVILLE,AIRDROME,BOOK_10_AIRFIELDS__PART_1,9.0,0.0,0,5.230956099253861,0.0,1.6,1.6,AIRFIELDS,242,8.0,31,7.0,3.0,930.0,115.0,20.0,1943
